全球,"301,988,196",5477778
美国,"59,031,556",835815
印度,"35,226,386",483178
巴西,"22,328,252",619654
英国,"14,279,775",150222
法国,"11,618,224",126195
俄罗斯,"10,437,471",308258
土耳其,"9,852,458",83388
德国,"7,458,433",113717
意大利,"7,083,762",138697
西班牙,"6,922,466",89837
伊朗,"6,204,224",131821
阿根廷,"6,025,303",117386
哥伦比亚,"5,242,672",130191
印尼,"4,265,187",144121
波兰,"4,191,193",99428
墨西哥,"4,055,095",299970
乌克兰,"3,877,032",103434
南非,"3,513,813",92252
荷兰,"3,344,040",21535
菲律宾,"2,910,664",51871
马来西亚,"2,780,080",31644
捷克,"2,517,475",36507
加拿大,"2,465,578",30713
秘鲁,"2,328,312",202946
泰国,"2,252,776",21799
比利时,"2,206,992",28446
伊拉克,"2,096,490",24198
越南,"1,859,841",33877
罗马尼亚,"1,833,789",58971
智利,"1,821,071",39232
日本,"1,747,907",18396
孟加拉国,"1,591,093",28098
葡萄牙,"1,499,976",19029
瑞士,"1,483,212",12339
以色列,"1,463,193",8259
希腊,"1,451,354",21263
瑞典,"1,416,650",15377
斯洛伐克,"1,391,061",16896
塞尔维亚,"1,334,994",12867
奥地利,"1,321,725",13830
巴基斯坦,"1,301,141",28961
匈牙利,"1,282,957",39780
哈萨克斯坦,"1,074,283",18267
约旦,"1,047,953",12372
摩洛哥,"990,057",14896
古巴,"972,513",8325
格鲁吉亚,"953,410",14128
丹麦,"947,908",3359
爱尔兰,"930,598",5952
尼泊尔,"831,052",11602
阿联酋,"780,211",2170
保加利亚,"770,001",31375
澳大利亚,"762,504",2321
黎巴嫩,"753,879",9231
克罗地亚,"749,455",12805
突尼斯,"735,973",25630
白俄罗斯,"706,530",5685
韩国,"657,508",5932
玻利维亚,"652,819",19888
危地马拉,"633,774",16117
阿塞拜疆,"620,049",8431
斯里兰卡,"590,651",15099
哥斯达黎加,"581,394",7370
沙特阿拉伯,"572,225",8890
厄瓜多尔,"559,950",33699
立陶宛,"536,405",7504
Burma,"531,801",19288
巴拿马,"512,402",7449
斯洛文尼亚,"482,927",5644
巴拉圭,"472,673",16658
约旦河西岸和加沙,"471,414",4954
委内瑞拉,"446,026",5345
多米尼加,"444,985",4252
埃塞俄比亚,"440,024",7005
乌拉圭,"430,958",6186
挪威,"428,736",1350
科威特,"428,100",2469
利比亚,"392,868",5778
蒙古国,"392,430",2068
埃及,"390,294",21882
摩尔多瓦,"379,572",10350
洪都拉斯,"379,402",10433
亚美尼亚,"345,518",7997
肯尼亚,"309,130",5425
阿曼,"306,755",4117
芬兰,"305,522",1638
波斯尼亚和黑塞哥维那,"297,333",13568
巴林,"287,939",1395
拉脱维亚,"285,026",4642
新加坡,"283,214",835
赞比亚,"278,276",3790
卡塔尔,"260,283",618
爱沙尼亚,"249,592",1951
尼日利亚,"246,195",3066
北马其顿,"230,265",8002
博茨瓦纳,"229,855",2475
阿尔及利亚,"221,316",6325
津巴布韦,"220,178",5108
阿尔巴尼亚,"214,905",3233
莫桑比克,"206,272",2075
加州,"5,959,487",76983
德克萨斯,"4,946,880",76364
佛罗里达,"4,486,276",62622
纽约,"3,929,750",60276
伊利诺伊,"2,382,423",30794
宾夕法尼亚,"2,206,899",37522
俄亥俄,"2,151,829",30072
乔治亚,"1,928,942",31521
密西根,"1,855,658",29955
北卡,"1,816,380",19619
新泽西,"1,782,463",29374
田纳西,"1,462,996",20941
亚利桑那,"1,430,241",24586
印第安纳,"1,314,688",19448
马萨诸塞,"1,250,765",20510
弗吉尼亚,"1,220,869",15651
威斯康星,"1,186,066",11402
密苏里,"1,075,994",16476
明尼苏达,"1,064,065",10906
南卡,"1,048,252",14746
科罗拉多,"979,437",10402
阿拉巴马,"957,848",16585
华盛顿州,"913,980",9974
路易斯安那,"908,428",15054
肯塔基,"904,916",12319
马里兰,"800,743",12107
俄克拉荷马,"737,593",12592
犹他,"682,036",3887
阿肯色,"604,843",9298
爱荷华,"596,296",8019
密西西比,"586,547",10527
堪萨斯,"565,288",7101
康涅狄格,"563,635",9281
内华达,"509,472",8509
俄勒冈,"449,267",5728
新墨西哥,"364,861",5969
内布拉斯加,"355,928",3416
西弗吉尼亚,"351,688",5421
波多黎各,"340,152",3357
爱达荷,"325,730",4223
罗德岛,"266,066",3121
新罕布什尔,"211,952",2017
蒙大拿,"202,863",2917
特拉华,"195,600",2286
南达科塔,"189,411",2522
北达科塔,"180,646",2073
阿拉斯加,"161,678",979
缅因,"152,173",1599
夏威夷,"134,442",1101
怀俄明,"119,093",1572
华盛顿特区,"108,112",1225
佛蒙特,"73,802",482
关岛,"20,594",274
维京群岛,"11,833",89
北马里亚纳群岛,"3,518",18
至尊公主号,103,3
钻石公主号,49,0
美属萨摩亚,10,0
